
Data Report
2020-01-27 17:52:09
Station, 1, Y16697

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),WS(m/s),WD(Deg),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2019-11-28 18:00:00,+00011.5,+00025.8,+16.69,00.0,000,+025.2,058,683.8,+035.6,025,00000
2019-11-28 18:15:00,+00004.7,+00025.8,+16.43,00.0,000,+025.0,060,683.9,+035.0,026,00000
2019-11-28 18:30:00,+00017.4,+00025.8,+16.69,00.0,000,+024.8,062,684.0,+034.5,028,00000
2019-11-28 18:45:00,+00026.5,+00025.8,+16.69,00.0,000,+024.4,064,684.2,+034.1,029,00000
2019-11-28 19:00:00,+00020.2,+00021.9,+16.67,00.0,000,+024.2,066,684.3,+033.8,029,00000
2019-11-28 19:15:00,+00006.9,+00021.9,+16.42,00.0,000,+024.0,067,684.5,+033.5,030,00000
2019-11-28 19:30:00,+00020.8,+00021.9,+16.69,00.0,000,+023.7,068,684.8,+033.2,031,00000
2019-11-28 19:45:00,+00024.6,+00021.9,+16.68,00.0,000,+023.4,070,685.0,+032.8,032,00000
2019-11-28 20:00:00,+00015.0,+00022.4,+16.68,00.0,000,+023.0,071,685.2,+032.5,032,00000
2019-11-28 20:15:00,+00044.6,+00022.4,+16.43,00.0,000,+022.6,072,685.4,+032.0,033,00000
2019-11-28 20:30:00,+00020.2,+00022.4,+16.68,00.0,000,+022.2,073,685.6,+031.7,033,00000
2019-11-28 20:45:00,+00018.1,+00022.4,+16.68,00.0,000,+022.1,075,685.6,+031.4,034,00000
2019-11-28 21:00:00,+00017.5,+00018.7,+16.67,00.0,000,+021.9,076,685.7,+031.1,035,00000
2019-11-28 21:15:00,+00020.3,+00018.7,+16.41,00.0,000,+021.7,077,685.8,+030.9,036,00000
2019-11-28 21:30:00,+00010.7,+00018.7,+16.65,00.0,000,+021.6,078,685.9,+030.8,036,00000
2019-11-28 21:45:00,+00015.7,+00018.7,+16.64,00.0,000,+021.6,078,686.0,+030.8,036,00000
2019-11-28 22:00:00,+00008.2,+00011.8,+16.65,00.0,000,+021.7,078,686.0,+030.8,037,00000
2019-11-28 22:15:00,+00013.0,+00011.8,+16.42,00.0,000,+021.7,079,686.0,+030.8,037,00000
2019-11-28 22:30:00,+00013.9,+00011.8,+16.65,00.0,000,+021.6,079,685.9,+030.8,037,00000
2019-11-28 22:45:00,+00007.3,+00011.8,+16.66,00.0,000,+021.6,079,685.8,+030.8,037,00000
2019-11-28 23:00:00,+00015.1,+00012.4,+16.65,00.0,000,+021.5,080,685.7,+030.7,037,00000
2019-11-28 23:15:00,+00025.7,+00012.4,+16.40,00.0,000,+021.4,080,685.5,+030.6,037,00000
2019-11-28 23:30:00,+00003.6,+00012.4,+16.65,00.0,000,+021.3,080,685.5,+030.5,037,00000
2019-11-28 23:45:00,+00017.3,+00012.4,+16.65,00.0,000,+021.2,080,685.4,+030.5,037,00000
2019-11-29 00:00:00,+00010.7,+00012.1,+16.65,00.0,000,+021.2,080,685.3,+030.4,037,00000
2019-11-29 00:15:00,+00017.9,+00012.1,+16.42,00.0,000,+021.1,081,685.3,+030.3,038,00000
2019-11-29 00:30:00,+00009.0,+00012.1,+16.67,00.0,000,+021.0,081,685.2,+030.3,038,00000
2019-11-29 00:45:00,+00014.3,+00012.1,+16.66,00.0,000,+021.0,081,685.0,+030.3,038,00000
2019-11-29 01:00:00,+00008.5,+00010.4,+16.65,00.0,000,+020.9,082,684.9,+030.3,038,00000
2019-11-29 01:15:00,-00004.4,+00010.4,+16.43,00.0,000,+020.9,082,684.9,+030.2,038,00000
2019-11-29 01:30:00,+00013.2,+00010.4,+16.67,00.0,000,+020.8,082,684.9,+030.1,038,00000
2019-11-29 01:45:00,+00026.9,+00010.4,+16.66,00.0,000,+020.7,082,684.7,+030.1,038,00000
2019-11-29 02:00:00,+00002.0,+00013.9,+16.66,00.0,000,+020.5,083,684.6,+029.9,038,00000
2019-11-29 02:15:00,-00006.6,+00013.9,+16.43,00.0,000,+020.4,083,684.5,+029.8,038,00000
2019-11-29 02:30:00,+00003.6,+00013.9,+16.67,00.0,000,+020.3,084,684.4,+029.7,038,00000
2019-11-29 02:45:00,+00014.2,+00013.9,+16.66,00.0,000,+020.1,084,684.3,+029.7,038,00000
2019-11-29 03:00:00,+00000.4,+00006.8,+16.66,00.0,000,+019.9,085,684.3,+029.5,038,00000
2019-11-29 03:15:00,+00005.9,+00006.8,+16.42,00.0,000,+019.8,085,684.3,+029.4,039,00000
2019-11-29 03:30:00,+00011.4,+00006.8,+16.67,00.0,000,+019.7,085,684.2,+029.2,039,00000
2019-11-29 03:45:00,+00007.9,+00006.8,+16.66,00.0,000,+019.6,085,684.2,+029.1,039,00000
2019-11-29 04:00:00,+00018.9,+00012.9,+16.66,00.0,000,+019.5,086,684.3,+029.0,039,00000
2019-11-29 04:15:00,+00009.9,+00012.9,+16.42,00.0,000,+019.5,086,684.3,+028.8,040,00000
2019-11-29 04:30:00,+00004.3,+00012.9,+16.66,00.0,000,+019.5,086,684.4,+028.8,040,00000
2019-11-29 04:45:00,+00027.2,+00012.9,+16.65,00.0,000,+019.5,085,684.5,+028.9,039,00000
2019-11-29 05:00:00,+00012.5,+00017.7,+16.65,00.0,000,+019.4,086,684.6,+028.9,039,00000
2019-11-29 05:15:00,+00024.9,+00017.7,+16.42,00.0,000,+019.4,086,684.7,+028.9,040,00000
2019-11-29 05:30:00,+00006.4,+00017.7,+16.67,00.0,000,+019.4,086,684.8,+028.8,040,00000
2019-11-29 05:45:00,+00014.4,+00017.7,+16.67,00.0,000,+019.6,085,684.9,+028.8,040,00000
2019-11-29 06:00:00,+00006.0,+00010.2,+16.65,00.0,000,+019.7,085,685.1,+028.9,040,00000
2019-11-29 06:15:00,+00012.4,+00010.2,+16.40,00.0,000,+019.7,085,685.1,+029.1,039,00000
2019-11-29 06:30:00,+00006.4,+00010.2,+16.65,00.0,000,+019.7,085,685.3,+029.1,039,00000
2019-11-29 06:45:00,+00015.2,+00010.2,+16.65,00.0,000,+019.7,085,685.5,+029.1,039,00000
2019-11-29 07:00:00,+00015.0,+00013.3,+16.66,00.0,000,+019.9,085,685.6,+029.2,039,00000
2019-11-29 07:15:00,+00019.5,+00013.3,+16.41,00.0,000,+020.3,083,685.8,+029.4,039,00000
2019-11-29 07:30:00,+00014.7,+00013.3,+16.65,00.0,000,+020.5,083,685.8,+029.6,038,00000
2019-11-29 07:45:00,+00022.2,+00013.3,+16.65,00.0,000,+021.0,081,685.9,+029.9,038,00000
2019-11-29 08:00:00,+00013.0,+00017.8,+16.65,00.0,000,+021.7,079,686.0,+030.4,037,00000
2019-11-29 08:15:00,+00017.8,+00017.8,+16.40,00.0,000,+022.1,078,686.1,+031.0,036,00000
2019-11-29 08:30:00,+00016.9,+00017.8,+16.65,00.0,000,+022.8,075,686.2,+031.9,034,00000
2019-11-29 08:45:00,+00016.0,+00017.8,+16.66,00.0,000,+022.7,076,686.4,+032.3,033,00000
2019-11-29 09:00:00,+00015.6,+00015.6,+16.66,00.0,000,+023.6,074,686.5,+032.8,033,00000
2019-11-29 09:15:00,-00000.8,+00015.6,+16.40,00.0,000,+024.0,071,686.5,+033.6,031,00000
2019-11-29 09:30:00,+00010.7,+00015.6,+16.65,00.0,000,+024.1,071,686.5,+033.9,031,00000
2019-11-29 09:45:00,+00004.1,+00015.6,+16.67,00.0,000,+025.8,067,686.5,+034.7,030,00000
