
Data Report
2020-01-27 17:54:45
Station, 1, Y16462

TIME,WS (m/s),WD (Deg),AT (C),RH (%),BP (mbar),RN (mm),Comp (Deg),GUST (m/s),SIGMA (Deg),BV (V  ),Solar (W/m2),STAT
2019-12-19 15:10:00,00021.7,00173.3,+0023.7,00062.1,00898.8,0000.00,0000094,00022.6,00001.8,0014.84,0000000,00000
2019-12-19 15:15:00,00021.8,00173.2,+0023.7,00062.0,00898.8,0000.00,0000094,00023.0,00001.6,0014.84,0000000,00000
2019-12-19 15:20:00,00022.0,00174.4,+0023.8,00062.8,00898.8,0000.00,0000094,00022.8,00001.2,0014.84,0000000,00000
2019-12-19 15:25:00,00021.9,00184.0,+0023.8,00062.6,00898.8,0000.00,0000094,00022.9,00098.6,0014.84,0000000,00000
2019-12-19 15:30:00,00022.0,00102.6,+0024.1,00062.7,00898.8,0000.00,0000094,00023.3,00001.3,0014.84,0000000,00000
2019-12-19 15:35:00,00022.1,00036.8,+0024.1,00062.2,00898.8,0000.00,0000094,00024.1,00001.9,0014.84,0000000,00000
2019-12-19 15:40:00,00022.0,00013.3,+0024.2,00061.2,00898.8,0000.00,0000094,00023.1,00001.8,0014.84,0000000,00000
2019-12-19 15:45:00,00021.7,00053.3,+0024.6,00060.3,00898.7,0000.00,0000094,00023.1,00002.0,0014.84,0000000,00000
2019-12-19 15:50:00,00022.6,00042.0,+0024.2,00060.1,00898.7,0000.00,0000094,00024.4,00002.4,0014.84,0000000,00000
2019-12-19 15:55:00,00022.7,00095.5,+0024.2,00061.1,00898.6,0000.00,0000094,00024.6,00001.3,0014.84,0000000,00000
2019-12-19 16:00:00,00023.1,00016.4,+0024.0,00062.0,00898.6,0000.00,0000094,00025.2,00002.2,0014.84,0000000,00000
2019-12-19 16:05:00,00022.5,00080.1,+0024.1,00063.3,00898.6,0000.00,0000094,00024.6,00001.4,0014.84,0000000,00000
2019-12-19 16:10:00,00022.0,00069.1,+0024.4,00061.5,00898.6,0000.00,0000094,00023.6,00001.9,0014.84,0000000,00000
2019-12-19 16:15:00,00022.4,00054.5,+0024.3,00061.9,00898.6,0000.00,0000094,00023.4,00001.8,0014.84,0000000,00000
2019-12-19 16:20:00,00022.5,00076.7,+0024.3,00061.8,00898.7,0000.00,0000094,00023.7,00001.6,0014.84,0000000,00000
2019-12-19 16:25:00,00022.0,00170.2,+0024.5,00061.4,00898.7,0000.00,0000094,00023.3,00017.7,0014.84,0000000,00000
2019-12-19 16:30:00,00022.0,00174.1,+0024.4,00061.3,00898.7,0000.00,0000094,00023.4,00001.3,0014.84,0000000,00000
2019-12-19 16:35:00,00021.4,00174.4,+0024.1,00061.9,00898.8,0000.00,0000094,00022.9,00001.8,0014.84,0000000,00000
2019-12-19 16:40:00,00021.8,00174.2,+0023.7,00062.6,00898.8,0000.00,0000094,00023.2,00001.5,0014.84,0000000,00000
2019-12-19 16:45:00,00021.8,00174.2,+0023.6,00063.0,00898.9,0000.00,0000094,00023.0,00061.9,0014.84,0000000,00000
2019-12-19 16:50:00,00022.2,00035.4,+0023.5,00063.2,00899.0,0000.00,0000094,00023.4,00001.6,0014.84,0000000,00000
2019-12-19 16:55:00,00021.7,00126.3,+0023.4,00064.4,00899.0,0000.00,0000094,00024.2,00075.0,0014.84,0000000,00000
2019-12-19 17:00:00,00021.8,00172.5,+0023.2,00064.9,00899.1,0000.00,0000094,00023.3,00002.3,0014.84,0000000,00000
2019-12-19 17:05:00,00022.0,00174.0,+0023.1,00065.7,00899.2,0000.00,0000094,00022.9,00001.8,0014.84,0000000,00000
2019-12-19 17:10:00,00021.9,00174.6,+0022.9,00066.4,00899.2,0000.00,0000094,00022.6,00001.2,0014.84,0000000,00000
2019-12-19 17:15:00,00022.0,00174.6,+0022.8,00066.2,00899.2,0000.00,0000094,00023.0,00001.2,0014.84,0000000,00000
2019-12-19 17:20:00,00021.8,00176.1,+0022.8,00066.4,00899.2,0000.00,0000094,00022.7,00000.9,0014.84,0000000,00000
2019-12-19 17:25:00,00021.4,00175.0,+0022.6,00067.1,00899.2,0000.00,0000094,00022.6,00009.3,0014.84,0000000,00000
2019-12-19 17:30:00,00021.3,00176.3,+0022.6,00067.2,00899.2,0000.00,0000094,00021.9,00000.7,0014.84,0000000,00000
2019-12-19 17:35:00,00021.5,00176.2,+0022.6,00068.2,00899.2,0000.00,0000094,00022.0,00000.8,0014.84,0000000,00000
2019-12-19 17:40:00,00021.4,00175.1,+0022.5,00068.0,00899.2,0000.00,0000094,00022.0,00001.4,0014.84,0000000,00000
2019-12-19 17:45:00,00021.4,00175.0,+0022.6,00067.5,00899.2,0000.00,0000094,00022.4,00001.6,0014.84,0000000,00000
2019-12-19 17:50:00,00021.7,00174.1,+0022.5,00067.5,00899.3,0000.00,0000094,00023.0,00001.8,0014.84,0000000,00000
2019-12-19 17:55:00,00021.8,00174.3,+0022.4,00067.6,00899.4,0000.00,0000094,00023.1,00001.1,0014.84,0000000,00000
2019-12-19 18:00:00,00022.0,00174.6,+0022.2,00068.7,00899.4,0000.00,0000094,00023.4,00001.5,0014.84,0000000,00000
2019-12-19 18:05:00,00022.1,00175.4,+0022.1,00069.2,00899.4,0000.00,0000094,00023.6,00001.1,0014.84,0000000,00000
2019-12-19 18:10:00,00022.1,00175.4,+0022.0,00070.0,00899.5,0000.00,0000094,00023.0,00001.3,0014.84,0000000,00000
2019-12-19 18:15:00,00022.0,00176.3,+0022.0,00070.0,00899.5,0000.00,0000094,00022.6,00000.9,0014.84,0000000,00000
2019-12-19 18:20:00,00022.0,00176.3,+0021.8,00071.0,00899.6,0000.00,0000094,00022.6,00001.0,0014.84,0000000,00000
