TrakPro Version 4.70 ASCII Data File

Model:,DustTrak II
Model Number:,8530
Serial Number:,8530172811
Test ID:,001
Test Abbreviation:,MANUAL_001
Start Date:,20-01-2020
Start Time:,13:01:58
Duration (dd:hh:mm:ss):,2:01:00:00
Log Interval (mm:ss):,00:30
Number of points:,5880
Notes:,

Statistics,Channel:,AEROSOL
,Units:,mg/m^3
,Average:,0.092
,Minimum:,0.039
,Time of Minimum:,14:45:28
,Date of Minimum:,20-01-2020
,Maximum:,2.210
,Time of Maximum:,07:57:28
,Date of Maximum:,22-01-2020

Calibration,Sensor:,AEROSOL
,Cal. date,14-07-2017

Date,Time,AEROSOL
dd-MM-yyyy,hh:mm:ss,mg/m^3
20-01-2020,13:02:28,0.053
20-01-2020,13:02:58,0.052
20-01-2020,13:03:28,0.051
20-01-2020,13:03:58,0.050
20-01-2020,13:04:28,0.051
20-01-2020,13:04:58,0.050
20-01-2020,13:05:28,0.049
20-01-2020,13:05:58,0.052
20-01-2020,13:06:28,0.055
20-01-2020,13:06:58,0.051
20-01-2020,13:07:28,0.051
20-01-2020,13:07:58,0.051
20-01-2020,13:08:28,0.053
20-01-2020,13:08:58,0.052
20-01-2020,13:09:28,0.053
20-01-2020,13:09:58,0.052
20-01-2020,13:10:28,0.053
20-01-2020,13:10:58,0.052
20-01-2020,13:11:28,0.051
20-01-2020,13:11:58,0.052
20-01-2020,13:12:28,0.052
20-01-2020,13:12:58,0.051
20-01-2020,13:13:28,0.052
20-01-2020,13:13:58,0.054
20-01-2020,13:14:28,0.052
20-01-2020,13:14:58,0.052
20-01-2020,13:15:28,0.053
20-01-2020,13:15:58,0.053
20-01-2020,13:16:28,0.052
20-01-2020,13:16:58,0.052
20-01-2020,13:17:28,0.052
20-01-2020,13:17:58,0.052
20-01-2020,13:18:28,0.052
20-01-2020,13:18:58,0.051
20-01-2020,13:19:28,0.052
20-01-2020,13:19:58,0.051
20-01-2020,13:20:28,0.051
20-01-2020,13:20:58,0.050
20-01-2020,13:21:28,0.050
20-01-2020,13:21:58,0.050
20-01-2020,13:22:28,0.050
20-01-2020,13:22:58,0.048
20-01-2020,13:23:28,0.048
20-01-2020,13:23:58,0.048
20-01-2020,13:24:28,0.051
20-01-2020,13:24:58,0.051
20-01-2020,13:25:28,0.050
20-01-2020,13:25:58,0.050
20-01-2020,13:26:28,0.052
20-01-2020,13:26:58,0.051
20-01-2020,13:27:28,0.050
20-01-2020,13:27:58,0.051
20-01-2020,13:28:28,0.054
20-01-2020,13:28:58,0.059
20-01-2020,13:29:28,0.053
20-01-2020,13:29:58,0.049
20-01-2020,13:30:28,0.049
20-01-2020,13:30:58,0.048
20-01-2020,13:31:28,0.047
20-01-2020,13:31:58,0.047
20-01-2020,13:32:28,0.046
20-01-2020,13:32:58,0.046
20-01-2020,13:33:28,0.046
20-01-2020,13:33:58,0.046
20-01-2020,13:34:28,0.045
20-01-2020,13:34:58,0.045
20-01-2020,13:35:28,0.046
20-01-2020,13:35:58,0.045
20-01-2020,13:36:28,0.045
20-01-2020,13:36:58,0.045
20-01-2020,13:37:28,0.044
20-01-2020,13:37:58,0.045
20-01-2020,13:38:28,0.046
20-01-2020,13:38:58,0.046
20-01-2020,13:39:28,0.047
20-01-2020,13:39:58,0.046
20-01-2020,13:40:28,0.047
20-01-2020,13:40:58,0.047
20-01-2020,13:41:28,0.048
20-01-2020,13:41:58,0.048
20-01-2020,13:42:28,0.045
20-01-2020,13:42:58,0.046
20-01-2020,13:43:28,0.045
20-01-2020,13:43:58,0.046
20-01-2020,13:44:28,0.046
20-01-2020,13:44:58,0.045
20-01-2020,13:45:28,0.046
20-01-2020,13:45:58,0.045
20-01-2020,13:46:28,0.045
20-01-2020,13:46:58,0.045
20-01-2020,13:47:28,0.045
20-01-2020,13:47:58,0.047
20-01-2020,13:48:28,0.048
20-01-2020,13:48:58,0.047
20-01-2020,13:49:28,0.047
20-01-2020,13:49:58,0.046
20-01-2020,13:50:28,0.046
20-01-2020,13:50:58,0.047
20-01-2020,13:51:28,0.046
20-01-2020,13:51:58,0.046
20-01-2020,13:52:28,0.047
20-01-2020,13:52:58,0.047
20-01-2020,13:53:28,0.048
20-01-2020,13:53:58,0.048
20-01-2020,13:54:28,0.048
20-01-2020,13:54:58,0.048
20-01-2020,13:55:28,0.047
20-01-2020,13:55:58,0.047
20-01-2020,13:56:28,0.047
20-01-2020,13:56:58,0.047
20-01-2020,13:57:28,0.047
20-01-2020,13:57:58,0.047
20-01-2020,13:58:28,0.047
20-01-2020,13:58:58,0.047
20-01-2020,13:59:28,0.047
20-01-2020,13:59:58,0.047
20-01-2020,14:00:28,0.048
20-01-2020,14:00:58,0.048
20-01-2020,14:01:28,0.049
20-01-2020,14:01:58,0.049
20-01-2020,14:02:28,0.048
20-01-2020,14:02:58,0.048
20-01-2020,14:03:28,0.048
20-01-2020,14:03:58,0.048
20-01-2020,14:04:28,0.049
20-01-2020,14:04:58,0.048
20-01-2020,14:05:28,0.048
20-01-2020,14:05:58,0.048
20-01-2020,14:06:28,0.047
20-01-2020,14:06:58,0.047
20-01-2020,14:07:28,0.048
20-01-2020,14:07:58,0.047
20-01-2020,14:08:28,0.046
20-01-2020,14:08:58,0.046
20-01-2020,14:09:28,0.046
20-01-2020,14:09:58,0.047
20-01-2020,14:10:28,0.046
20-01-2020,14:10:58,0.046
20-01-2020,14:11:28,0.046
20-01-2020,14:11:58,0.046
20-01-2020,14:12:28,0.045
20-01-2020,14:12:58,0.047
20-01-2020,14:13:28,0.049
20-01-2020,14:13:58,0.046
20-01-2020,14:14:28,0.046
20-01-2020,14:14:58,0.046
20-01-2020,14:15:28,0.046
20-01-2020,14:15:58,0.044
20-01-2020,14:16:28,0.042
20-01-2020,14:16:58,0.041
20-01-2020,14:17:28,0.041
20-01-2020,14:17:58,0.041
20-01-2020,14:18:28,0.041
20-01-2020,14:18:58,0.041
20-01-2020,14:19:28,0.041
20-01-2020,14:19:58,0.042
20-01-2020,14:20:28,0.043
20-01-2020,14:20:58,0.043
20-01-2020,14:21:28,0.042
20-01-2020,14:21:58,0.042
20-01-2020,14:22:28,0.042
20-01-2020,14:22:58,0.042
20-01-2020,14:23:28,0.042
20-01-2020,14:23:58,0.042
20-01-2020,14:24:28,0.042
20-01-2020,14:24:58,0.042
20-01-2020,14:25:28,0.042
20-01-2020,14:25:58,0.042
20-01-2020,14:26:28,0.042
20-01-2020,14:26:58,0.042
20-01-2020,14:27:28,0.041
20-01-2020,14:27:58,0.042
20-01-2020,14:28:28,0.041
20-01-2020,14:28:58,0.042
20-01-2020,14:29:28,0.042
20-01-2020,14:29:58,0.042
20-01-2020,14:30:28,0.043
20-01-2020,14:30:58,0.043
20-01-2020,14:31:28,0.044
20-01-2020,14:31:58,0.044
20-01-2020,14:32:28,0.044
20-01-2020,14:32:58,0.044
20-01-2020,14:33:28,0.044
20-01-2020,14:33:58,0.044
20-01-2020,14:34:28,0.043
20-01-2020,14:34:58,0.043
20-01-2020,14:35:28,0.043
20-01-2020,14:35:58,0.042
20-01-2020,14:36:28,0.042
20-01-2020,14:36:58,0.041
20-01-2020,14:37:28,0.041
20-01-2020,14:37:58,0.041
20-01-2020,14:38:28,0.041
20-01-2020,14:38:58,0.041
20-01-2020,14:39:28,0.042
20-01-2020,14:39:58,0.042
20-01-2020,14:40:28,0.043
20-01-2020,14:40:58,0.042
20-01-2020,14:41:28,0.042
20-01-2020,14:41:58,0.042
20-01-2020,14:42:28,0.041
20-01-2020,14:42:58,0.042
20-01-2020,14:43:28,0.041
20-01-2020,14:43:58,0.040
20-01-2020,14:44:28,0.040
20-01-2020,14:44:58,0.040
20-01-2020,14:45:28,0.039
20-01-2020,14:45:58,0.040
20-01-2020,14:46:28,0.039
20-01-2020,14:46:58,0.039
20-01-2020,14:47:28,0.041
20-01-2020,14:47:58,0.041
20-01-2020,14:48:28,0.042
20-01-2020,14:48:58,0.042
20-01-2020,14:49:28,0.043
20-01-2020,14:49:58,0.042
20-01-2020,14:50:28,0.041
20-01-2020,14:50:58,0.040
20-01-2020,14:51:28,0.041
20-01-2020,14:51:58,0.041
20-01-2020,14:52:28,0.041
20-01-2020,14:52:58,0.040
20-01-2020,14:53:28,0.041
20-01-2020,14:53:58,0.043
20-01-2020,14:54:28,0.042
20-01-2020,14:54:58,0.042
20-01-2020,14:55:28,0.041
20-01-2020,14:55:58,0.041
20-01-2020,14:56:28,0.041
20-01-2020,14:56:58,0.041
20-01-2020,14:57:28,0.041
20-01-2020,14:57:58,0.041
20-01-2020,14:58:28,0.041
20-01-2020,14:58:58,0.041
20-01-2020,14:59:28,0.041
20-01-2020,14:59:58,0.041
20-01-2020,15:00:28,0.041
20-01-2020,15:00:58,0.041
20-01-2020,15:01:28,0.041
20-01-2020,15:01:58,0.043
20-01-2020,15:02:28,0.042
20-01-2020,15:02:58,0.043
20-01-2020,15:03:28,0.042
20-01-2020,15:03:58,0.043
20-01-2020,15:04:28,0.042
20-01-2020,15:04:58,0.042
20-01-2020,15:05:28,0.041
20-01-2020,15:05:58,0.042
20-01-2020,15:06:28,0.042
20-01-2020,15:06:58,0.042
20-01-2020,15:07:28,0.042
20-01-2020,15:07:58,0.042
20-01-2020,15:08:28,0.042
20-01-2020,15:08:58,0.042
20-01-2020,15:09:28,0.042
20-01-2020,15:09:58,0.041
20-01-2020,15:10:28,0.040
20-01-2020,15:10:58,0.040
20-01-2020,15:11:28,0.039
20-01-2020,15:11:58,0.040
20-01-2020,15:12:28,0.040
20-01-2020,15:12:58,0.039
20-01-2020,15:13:28,0.040
20-01-2020,15:13:58,0.040
20-01-2020,15:14:28,0.039
20-01-2020,15:14:58,0.040
20-01-2020,15:15:28,0.040
20-01-2020,15:15:58,0.040
20-01-2020,15:16:28,0.039
20-01-2020,15:16:58,0.039
20-01-2020,15:17:28,0.039
20-01-2020,15:17:58,0.039
20-01-2020,15:18:28,0.040
20-01-2020,15:18:58,0.039
20-01-2020,15:19:28,0.039
20-01-2020,15:19:58,0.040
20-01-2020,15:20:28,0.040
20-01-2020,15:20:58,0.040
20-01-2020,15:21:28,0.040
20-01-2020,15:21:58,0.040
20-01-2020,15:22:28,0.040
20-01-2020,15:22:58,0.040
20-01-2020,15:23:28,0.040
20-01-2020,15:23:58,0.040
20-01-2020,15:24:28,0.040
20-01-2020,15:24:58,0.040
20-01-2020,15:25:28,0.040
20-01-2020,15:25:58,0.040
20-01-2020,15:26:28,0.040
20-01-2020,15:26:58,0.040
20-01-2020,15:27:28,0.040
20-01-2020,15:27:58,0.040
20-01-2020,15:28:28,0.040
20-01-2020,15:28:58,0.040
20-01-2020,15:29:28,0.041
20-01-2020,15:29:58,0.041
20-01-2020,15:30:28,0.041
20-01-2020,15:30:58,0.041
20-01-2020,15:31:28,0.041
20-01-2020,15:31:58,0.041
20-01-2020,15:32:28,0.041
20-01-2020,15:32:58,0.041
20-01-2020,15:33:28,0.041
20-01-2020,15:33:58,0.041
20-01-2020,15:34:28,0.040
20-01-2020,15:34:58,0.041
20-01-2020,15:35:28,0.041
20-01-2020,15:35:58,0.041
20-01-2020,15:36:28,0.042
20-01-2020,15:36:58,0.041
20-01-2020,15:37:28,0.042
20-01-2020,15:37:58,0.041
20-01-2020,15:38:28,0.041
20-01-2020,15:38:58,0.041
20-01-2020,15:39:28,0.042
20-01-2020,15:39:58,0.041
20-01-2020,15:40:28,0.041
20-01-2020,15:40:58,0.041
20-01-2020,15:41:28,0.041
20-01-2020,15:41:58,0.041
20-01-2020,15:42:28,0.041
20-01-2020,15:42:58,0.041
20-01-2020,15:43:28,0.040
20-01-2020,15:43:58,0.041
20-01-2020,15:44:28,0.040
20-01-2020,15:44:58,0.039
20-01-2020,15:45:28,0.040
20-01-2020,15:45:58,0.040
20-01-2020,15:46:28,0.040
20-01-2020,15:46:58,0.040
20-01-2020,15:47:28,0.040
20-01-2020,15:47:58,0.040
20-01-2020,15:48:28,0.040
20-01-2020,15:48:58,0.039
20-01-2020,15:49:28,0.040
20-01-2020,15:49:58,0.040
20-01-2020,15:50:28,0.040
20-01-2020,15:50:58,0.040
20-01-2020,15:51:28,0.041
20-01-2020,15:51:58,0.043
20-01-2020,15:52:28,0.043
20-01-2020,15:52:58,0.046
20-01-2020,15:53:28,0.046
20-01-2020,15:53:58,0.044
20-01-2020,15:54:28,0.044
20-01-2020,15:54:58,0.046
20-01-2020,15:55:28,0.046
20-01-2020,15:55:58,0.044
20-01-2020,15:56:28,0.044
20-01-2020,15:56:58,0.043
20-01-2020,15:57:28,0.043
20-01-2020,15:57:58,0.043
20-01-2020,15:58:28,0.043
20-01-2020,15:58:58,0.043
20-01-2020,15:59:28,0.043
20-01-2020,15:59:58,0.043
20-01-2020,16:00:28,0.044
20-01-2020,16:00:58,0.044
20-01-2020,16:01:28,0.044
20-01-2020,16:01:58,0.044
20-01-2020,16:02:28,0.046
20-01-2020,16:02:58,0.045
20-01-2020,16:03:28,0.045
20-01-2020,16:03:58,0.045
20-01-2020,16:04:28,0.047
20-01-2020,16:04:58,0.044
20-01-2020,16:05:28,0.043
20-01-2020,16:05:58,0.042
20-01-2020,16:06:28,0.042
20-01-2020,16:06:58,0.042
20-01-2020,16:07:28,0.043
20-01-2020,16:07:58,0.043
20-01-2020,16:08:28,0.043
20-01-2020,16:08:58,0.046
20-01-2020,16:09:28,0.046
20-01-2020,16:09:58,0.047
20-01-2020,16:10:28,0.047
20-01-2020,16:10:58,0.046
20-01-2020,16:11:28,0.045
20-01-2020,16:11:58,0.045
20-01-2020,16:12:28,0.046
20-01-2020,16:12:58,0.047
