
Data Report
2019-07-31 08:53:47
Station, 1, Y16697

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),WS(m/s),WD(Deg),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2019-07-23 09:00:00,+99999.0,+99999.0,+00.00,00.0,000,+021.8,087,681.3,+027.2,047,00016
2019-07-23 09:15:00,+99999.0,+99999.0,+00.00,00.0,000,+022.2,086,681.3,+027.2,047,00016
2019-07-23 09:30:00,+99999.0,+99999.0,+00.00,00.0,000,+022.6,084,681.3,+027.2,047,00016
2019-07-23 09:45:00,+99999.0,+99999.0,+14.93,00.0,000,+023.0,083,681.4,+023.1,062,00384
2019-07-23 10:00:00,+46657.4,-00015.0,+16.65,00.0,000,+023.2,081,681.4,+024.1,057,00384
2019-07-23 10:15:00,-00015.0,-00015.0,+16.40,00.0,000,+023.5,080,681.4,+026.2,051,00256
2019-07-23 10:30:00,-00015.0,-00015.0,+16.65,00.0,000,+023.9,079,681.3,+028.6,044,00256
2019-07-23 10:45:00,+00014.6,-00015.0,+16.65,00.0,000,+024.1,077,681.1,+030.4,039,00256
2019-07-23 11:00:00,+00016.3,+00006.4,+16.65,00.0,000,+024.0,076,681.1,+031.4,036,00000
2019-07-23 11:15:00,+00003.9,+00006.4,+16.40,00.0,000,+024.4,075,680.9,+032.0,035,00000
2019-07-23 11:30:00,+00015.7,+00006.4,+16.65,00.0,000,+024.6,074,680.9,+032.4,034,00000
2019-07-23 11:45:00,+00035.8,+00006.4,+16.65,00.0,000,+024.7,073,680.9,+032.8,033,00000
2019-07-23 12:00:00,+00014.8,+00024.0,+16.65,00.0,000,+025.0,072,680.7,+033.1,032,00000
2019-07-23 12:15:00,+00014.1,+00024.0,+16.40,00.0,000,+025.2,071,680.7,+033.5,032,00000
2019-07-23 12:30:00,+00022.8,+00024.0,+16.65,00.0,000,+025.5,070,680.6,+033.8,031,00000
2019-07-23 12:45:00,+00016.7,+00024.0,+16.65,00.0,000,+025.8,068,680.4,+034.1,030,00000
2019-07-23 13:00:00,+00024.7,+00020.9,+16.65,00.0,000,+026.3,066,680.4,+034.5,029,00000
2019-07-23 13:15:00,+00014.0,+00020.9,+16.41,00.0,000,+026.5,065,680.2,+034.9,029,00000
2019-07-23 13:30:00,+00019.5,+00020.9,+16.65,00.0,000,+026.7,064,680.1,+035.2,028,00000
2019-07-23 13:45:00,+00039.2,+00020.9,+16.65,00.0,000,+026.4,064,680.1,+035.4,028,00000
2019-07-23 14:00:00,+00017.3,+00027.4,+16.65,00.0,000,+026.3,065,680.1,+035.2,028,00000
2019-07-23 14:15:00,+00022.0,+00027.4,+16.43,00.0,000,+026.5,064,680.1,+035.1,028,00000
2019-07-23 14:30:00,+00017.1,+00027.4,+16.65,00.0,000,+026.8,063,680.0,+035.3,028,00000
2019-07-23 14:45:00,+00032.1,+00027.4,+16.65,00.0,000,+026.6,063,680.0,+035.3,028,00000
2019-07-23 15:00:00,+00029.7,+00028.7,+16.65,00.0,000,+026.2,064,679.9,+035.0,028,00000
2019-07-23 15:15:00,+00038.6,+00028.7,+16.41,00.0,000,+026.2,064,679.8,+034.7,029,00000
2019-07-23 15:30:00,+00034.4,+00028.7,+16.66,00.0,000,+025.8,066,679.8,+034.4,029,00000
2019-07-23 15:45:00,+00009.6,+00028.7,+16.65,00.0,000,+025.9,065,679.7,+034.3,029,00000
2019-07-23 16:00:00,+00018.6,+00020.4,+16.65,00.0,000,+025.8,066,679.5,+034.2,029,00000
2019-07-23 16:15:00,+00022.7,+00020.4,+16.42,00.0,000,+026.2,066,679.4,+034.2,030,00000
2019-07-23 16:30:00,+00011.1,+00020.4,+16.65,00.0,000,+026.1,066,679.3,+034.3,030,00000
2019-07-23 16:45:00,+00022.2,+00020.4,+16.65,00.0,000,+025.8,067,679.5,+034.3,030,00000
2019-07-23 17:00:00,+00026.2,+00019.5,+16.65,00.0,000,+025.3,068,679.6,+034.1,030,00000
2019-07-23 17:15:00,+00006.0,+00019.5,+16.42,00.0,000,+025.0,069,679.7,+033.7,031,00000
2019-07-23 17:30:00,+00010.0,+00019.5,+16.65,00.0,000,+025.0,069,679.7,+033.4,031,00000
2019-07-23 17:45:00,+00022.6,+00019.5,+16.65,00.0,000,+025.1,069,679.9,+033.3,031,00000
2019-07-23 18:00:00,+00039.4,+00025.6,+16.65,00.0,000,+024.9,070,680.0,+033.2,031,00000
2019-07-23 18:15:00,+00036.1,+00025.6,+16.41,00.0,000,+024.9,070,680.2,+032.9,032,00000
2019-07-23 18:30:00,+00031.8,+00025.6,+16.65,00.0,000,+024.9,070,680.3,+032.8,032,00000
2019-07-23 18:45:00,+00028.1,+00025.6,+16.65,00.0,000,+024.9,070,680.3,+032.6,032,00000
2019-07-23 19:00:00,+00027.1,+00030.0,+16.65,00.0,000,+024.4,073,680.5,+032.5,033,00000
2019-07-23 19:15:00,+00027.2,+00030.0,+16.42,00.0,000,+023.8,076,680.6,+032.2,035,00000
2019-07-23 19:30:00,+00024.5,+00030.0,+16.65,00.0,000,+023.3,078,680.8,+031.8,036,00000
2019-07-23 19:45:00,+00016.1,+00030.0,+16.65,00.0,000,+022.8,081,680.9,+031.3,037,00000
2019-07-23 20:00:00,+00030.9,+00023.0,+16.65,00.0,000,+022.6,083,681.0,+030.9,038,00000
2019-07-23 20:15:00,+00006.8,+00023.0,+16.42,00.0,000,+022.6,083,681.1,+030.6,039,00000
2019-07-23 20:30:00,+00019.7,+00023.0,+16.65,00.0,000,+022.4,084,681.4,+030.4,039,00000
2019-07-23 20:45:00,+00016.4,+00023.0,+16.65,00.0,000,+022.3,084,681.5,+030.3,039,00000
2019-07-23 21:00:00,+00036.5,+00023.4,+16.64,00.0,000,+022.2,085,681.7,+030.1,040,00000
2019-07-23 21:15:00,+00008.8,+00023.4,+16.41,00.0,000,+022.1,085,681.7,+029.9,041,00000
2019-07-23 21:30:00,+00024.5,+00023.4,+16.64,00.0,000,+022.1,085,681.8,+029.8,041,00000
2019-07-23 21:45:00,+00021.2,+00023.4,+16.65,00.0,000,+022.1,084,681.8,+029.8,040,00000
2019-07-23 22:00:00,+00022.3,+00024.6,+16.65,00.0,000,+022.2,084,681.9,+029.8,040,00000
