
Data Report
2019-11-18 09:30:16
Station, 1, Y16697

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),WS(m/s),WD(Deg),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2019-06-18 15:15:00,+99999.0,+99999.0,+02.47,00.0,000,+031.7,042,680.1,+034.6,041,00896
2019-06-18 15:20:00,+99999.0,+99999.0,+16.65,00.0,000,+031.9,041,680.1,+035.0,030,00256
2019-06-18 15:25:00,+99999.0,+99999.0,+16.65,00.0,000,+031.8,041,680.1,+035.2,029,00256
2019-06-18 15:30:00,+99999.0,+99999.0,+16.65,00.0,000,+031.3,042,680.1,+035.4,029,00256
2019-06-18 15:35:00,+60014.2,+99999.0,+16.66,00.0,000,+031.2,041,680.1,+035.5,028,00256
2019-06-18 15:40:00,+00044.0,+99999.0,+16.65,00.0,000,+030.8,042,680.1,+035.4,028,00256
2019-06-18 15:45:00,+00048.0,+99999.0,+16.65,00.0,000,+030.9,042,680.1,+035.4,028,00256
2019-06-18 15:50:00,+00037.3,+99999.0,+16.65,00.0,000,+031.2,042,680.1,+035.4,028,00256
2019-06-19 19:05:00,+99999.0,+99999.0,+10.98,00.0,000,+029.2,049,680.3,+032.4,038,00384
2019-06-19 19:10:00,+99999.0,+99999.0,+16.69,00.0,000,+028.7,051,680.3,+032.1,037,00256
2019-06-19 19:15:00,+99999.0,+99999.0,+16.69,00.0,000,+028.2,053,680.3,+031.9,038,00256
2019-06-19 19:20:00,+99999.0,+99999.0,+16.69,00.0,000,+027.9,055,680.4,+031.7,039,00256
2019-06-19 19:25:00,+40002.9,+99999.0,+16.69,00.0,000,+027.7,056,680.4,+031.4,039,00256
2019-06-19 19:30:00,+00006.8,+99999.0,+16.67,00.0,000,+027.3,057,680.4,+031.2,039,00256
2019-06-19 19:35:00,+00004.4,+99999.0,+16.69,00.0,000,+027.1,058,680.4,+031.0,040,00256
2019-06-19 19:40:00,-00001.1,+99999.0,+16.69,00.0,000,+027.2,058,680.4,+030.8,040,00256
2019-06-19 19:45:00,-00009.6,+99999.0,+16.69,00.0,000,+027.2,057,680.5,+030.6,040,00256
2019-06-19 19:50:00,-00003.0,+99999.0,+16.69,00.0,000,+027.2,057,680.5,+030.5,040,00256
2019-06-19 19:55:00,+00004.4,+99999.0,+16.69,00.0,000,+027.2,057,680.6,+030.4,040,00256
2019-06-19 20:00:00,-00002.3,+00000.6,+16.69,00.0,000,+027.1,057,680.6,+030.3,041,00384
2019-06-19 20:05:00,+00005.1,+00000.6,+15.85,00.0,000,+027.2,057,680.6,+030.2,041,00256
2019-06-19 20:10:00,+00013.6,+00000.6,+16.68,00.0,000,+027.3,057,680.7,+030.2,041,00256
2019-06-19 20:15:00,+00017.6,+00000.6,+16.69,00.0,000,+027.4,057,680.7,+030.1,041,00256
2019-06-19 20:20:00,+00010.9,+00000.6,+16.67,00.0,000,+027.3,057,680.7,+030.1,042,00256
