
Data Report
2019-09-17 11:27:44
Location, 1, Y16131

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2019-08-18 12:00:00,+000030,+000033,+16.6,+023.1,086,684,+032.1,031,00000
2019-08-18 13:00:00,+000029,+000030,+16.6,+023.9,081,683,+033.1,029,00000
2019-08-18 14:00:00,+000031,+000035,+16.6,+024.0,082,683,+033.6,028,00000
2019-08-18 15:00:00,+000026,+000020,+16.6,+024.1,082,682,+033.4,029,00000
2019-08-18 16:00:00,+000016,+000012,+16.7,+025.2,076,682,+034.1,028,00000
2019-08-18 17:00:00,+000013,+000020,+16.6,+025.6,073,682,+035.0,026,00000
2019-08-18 18:00:00,+000022,+000017,+16.6,+025.2,075,682,+034.8,026,00000
2019-08-18 19:00:00,+000019,+000021,+16.6,+023.3,082,682,+033.4,028,00000
2019-08-18 20:00:00,+000022,+000027,+16.6,+022.6,084,683,+031.9,029,00000
2019-08-18 21:00:00,+000031,+000030,+16.6,+022.6,087,683,+031.5,031,00000
2019-08-18 22:00:00,+000025,+000015,+16.7,+021.5,094,684,+030.2,034,00000
2019-08-18 23:00:00,+000007,+000006,+16.7,+020.8,098,685,+028.1,039,00000
2019-08-19 00:00:00,+000009,+000017,+16.6,+021.0,097,684,+028.1,039,00000
2019-08-19 01:00:00,+000012,+000011,+16.6,+020.9,097,684,+028.4,038,00000
2019-08-19 02:00:00,+000010,+000007,+16.6,+020.8,096,683,+028.6,037,00000
2019-08-19 03:00:00,+000011,+000007,+16.7,+020.8,095,683,+028.8,037,00000
2019-08-19 04:00:00,+000009,+000010,+16.6,+020.8,096,683,+029.2,036,00000
2019-08-19 05:00:00,+000010,+000015,+16.6,+020.9,095,683,+029.5,035,00000
2019-08-19 06:00:00,+000020,+000024,+16.6,+020.9,095,683,+029.6,034,00000
2019-08-19 07:00:00,+000022,+000021,+16.6,+021.0,095,683,+029.8,034,00000
2019-08-19 08:00:00,+000022,+000025,+16.6,+021.9,091,684,+030.5,033,00000
2019-08-19 09:00:00,+000019,+000018,+16.6,+023.5,080,684,+032.1,030,00000
2019-08-19 10:00:00,+000015,+000018,+16.6,+025.3,072,684,+034.2,026,00000
2019-08-19 11:00:00,+000014,+000012,+16.7,+026.2,068,684,+035.3,025,00000
2019-08-19 12:00:00,+000013,+000014,+16.6,+027.5,063,684,+036.5,023,00000
2019-08-19 13:00:00,+000013,+000014,+16.6,+028.6,058,683,+037.7,021,00000
2019-08-19 14:00:00,+000015,+000015,+16.6,+029.2,055,682,+038.4,020,00000
2019-08-19 15:00:00,+000016,+000017,+16.6,+029.1,056,682,+039.2,019,00000
2019-08-19 16:00:00,+000013,+000011,+16.6,+029.9,053,681,+039.6,019,00000
2019-08-19 17:00:00,+000020,+000022,+16.7,+029.2,054,681,+039.4,018,00000
2019-08-19 18:00:00,+000019,+000021,+16.6,+028.5,057,681,+037.7,020,00000
2019-08-19 19:00:00,+000026,+000028,+16.6,+027.7,063,682,+036.6,023,00000
2019-08-19 20:00:00,+000028,+000029,+16.7,+023.8,081,682,+034.2,026,00000
2019-08-19 21:00:00,+000013,+000003,+16.7,+021.0,096,684,+029.0,036,00000
2019-08-19 22:00:00,+000003,+000011,+16.6,+021.0,095,684,+028.1,038,00000
2019-08-19 23:00:00,+000011,+000013,+16.6,+021.3,095,684,+028.9,037,00000
2019-08-20 00:00:00,+000019,+000026,+16.6,+021.6,096,684,+029.2,037,00000
2019-08-20 01:00:00,+000023,+000017,+16.6,+021.6,096,684,+028.9,038,00000
2019-08-20 02:00:00,+000010,+000013,+16.6,+021.5,096,683,+028.9,038,00000
2019-08-20 03:00:00,+000008,+000006,+16.6,+021.4,096,683,+029.0,038,00000
2019-08-20 04:00:00,+000011,+000019,+16.6,+021.4,096,683,+029.4,036,00000
2019-08-20 05:00:00,+000018,+000015,+16.6,+021.4,096,683,+029.5,036,00000
2019-08-20 06:00:00,+000016,+000012,+16.6,+021.4,095,683,+029.7,035,00000
2019-08-20 07:00:00,+000011,+000016,+16.6,+021.4,094,683,+030.0,035,00000
2019-08-20 08:00:00,+000020,+000022,+16.6,+021.5,094,684,+030.1,035,00000
2019-08-20 09:00:00,+000020,+000024,+16.6,+022.0,092,684,+030.3,034,00000
2019-08-20 10:00:00,+000018,+000017,+16.6,+022.9,086,684,+031.2,032,00000
