
Data Report
2019-11-18 09:19:19
Location, 1, Y16131

Time,ConcRT(ug/m3),ConcHR(ug/m3),Flow(lpm),AT(C),RH(%),BP(mmHg),FT(C),FRH(%),Status
2019-06-13 05:00:00,+099999,+099999,+00.0,+026.8,060,682,+028.8,055,00128
2019-06-13 05:07:00,+099999,+099999,+12.9,+026.6,063,682,+028.7,049,00768
2019-06-13 05:07:00,+099999,+099999,+16.7,+026.5,066,682,+028.7,049,00256
2019-06-13 17:39:00,+099999,+099999,+16.7,+026.5,066,682,+028.7,049,00256
2019-06-13 17:40:00,+099999,+099999,+16.7,+026.4,066,682,+028.7,049,00256
2019-06-13 17:41:00,+099999,+099999,+16.7,+026.5,066,682,+028.7,049,00256
2019-06-13 17:42:00,+099999,+099999,+16.7,+026.4,067,682,+028.7,049,00256
2019-06-13 17:43:00,+099999,+099999,+16.7,+026.2,068,682,+028.7,049,00256
2019-06-13 17:44:00,+099999,+099999,+16.7,+026.1,068,682,+028.8,049,00256
2019-06-13 17:45:00,+099999,+099999,+16.7,+026.0,069,682,+028.8,049,00256
2019-06-13 17:46:00,+099999,+099999,+16.7,+026.0,069,682,+028.8,049,00256
2019-06-13 17:47:00,+099999,+099999,+16.7,+025.9,070,682,+028.8,049,00256
2019-06-13 17:48:00,+099999,+099999,+16.7,+026.0,070,682,+028.8,049,00256
2019-06-13 17:49:00,+099999,+099999,+16.7,+026.0,069,682,+028.9,049,00256
2019-06-13 17:50:00,+099999,+099999,+16.7,+026.1,069,682,+028.9,049,00256
2019-06-13 17:51:00,+099999,+099999,+16.7,+026.3,068,682,+028.9,049,00256
2019-06-13 17:52:00,+099999,+099999,+16.7,+026.4,068,682,+029.0,049,00256
2019-06-13 17:53:00,+099999,+099999,+16.7,+026.4,068,682,+029.0,049,00256
2019-06-13 17:54:00,+099999,+099999,+16.7,+026.5,067,682,+029.0,049,00256
2019-06-13 17:55:00,+099999,+099999,+16.7,+026.6,067,682,+029.1,049,00256
2019-06-13 17:56:00,+099999,+099999,+16.7,+026.7,066,682,+029.1,048,00256
2019-06-13 17:57:00,+099999,+099999,+16.7,+026.4,067,682,+029.2,048,00256
2019-06-13 17:58:00,+099999,+099999,+16.7,+026.3,068,682,+029.2,048,00256
2019-06-13 17:59:00,+099999,+099999,+16.7,+026.3,068,682,+029.3,048,00256
2019-06-13 18:00:00,+099999,+000022,+16.7,+026.4,068,682,+029.3,048,00768
2019-06-13 18:01:00,+099999,+000022,+14.1,+026.5,067,682,+029.4,048,00256
2019-06-13 18:02:00,+099999,+000022,+16.7,+026.5,067,682,+029.4,048,00256
2019-06-13 18:03:00,+099999,+000022,+16.7,+026.4,068,682,+029.5,047,00256
2019-06-13 18:04:00,+099999,+000022,+16.7,+026.3,068,682,+029.5,047,00256
2019-06-13 18:05:00,+099999,+000022,+16.7,+026.2,068,682,+029.6,047,00256
2019-06-13 18:06:00,+099999,+000022,+16.7,+026.2,068,682,+029.6,047,00256
2019-06-13 18:07:00,+099999,+000022,+16.7,+026.2,068,682,+029.6,047,00256
2019-06-13 18:08:00,+099999,+000022,+16.8,+026.1,068,682,+029.6,046,00256
2019-06-13 18:09:00,+099999,+000022,+16.7,+026.1,068,682,+029.6,046,00256
2019-06-13 18:10:00,+099999,+000022,+16.7,+026.0,068,682,+029.6,046,00256
2019-06-13 18:11:00,+099999,+000022,+16.7,+025.9,068,682,+029.6,046,00256
2019-06-13 18:12:00,+099999,+000022,+16.7,+025.8,068,682,+029.6,046,00256
2019-06-13 18:13:00,+099999,+000022,+16.7,+025.8,068,682,+029.6,046,00256
2019-06-13 18:14:00,+099999,+000022,+16.7,+025.8,068,681,+029.6,046,00256
2019-06-13 18:15:00,+099999,+000022,+16.7,+025.7,069,681,+029.6,046,00256
2019-06-13 18:16:00,+099999,+000022,+16.7,+025.7,069,681,+029.6,046,00256
